Rotor Length,Time,Color,Group,Anomaly,Helicopter ID
Long,2.38,Purple,JAHM,No,M
Long,2.55,Purple,JAHM,No,H
Short,2.31,Orange,JAHM,No,J
Short,2.16,Orange,JAHM,Yes,A
Short,2.21,Orange,JAHM,No,J
Long,2.65,Purple,JAHM,No,H
Short,2.03,Orange,JAHM,No,A
Long,2.55,Purple,JAHM,No,M
Short,2.12,Orange,JAHM,No,A
Long,2.55,Purple,JAHM,No,M
Short,2.12,Orange,JAHM,No,A
Long,2.19,Purple,JAHM,No,H
Long,2.50,Purple,JAHM,No,M
Short,1.86,Orange,JAHM,No,J
Long,2.39,Purple,JAHM,No,M
Long,2.61,Purple,JAHM,No,H
Short,2.08,Orange,JAHM,No,A
Short,2.23,Orange,JAHM,No,J
Long,2.37,Purple,JAHM,No,M
Long,2.28,Purple,JAHM,No,H
Short,2.15,Orange,JAHM,No,J
Short,1.96,Orange,JAHM,No,A
Long,2.52,Purple,JAHM,No,H
Short,2.12,Orange,JAHM,No,A
Short,1.90,Orange,JAHM,No,J
Long,2.38,Purple,JAHM,No,H
Short,2.17,Orange,JAHM,No,A
Short,1.71,Orange,JAHM,No,J
Long,2.26,Purple,JAHM,No,M
Short,2.01,Orange,JAHM,No,J
Short,2.35,Orange,JAHM,No,A
Long,2.13,Purple,JAHM,No,M
Long,2.08,Purple,JAHM,No,H
Long,2.08,Purple,JAHM,No,H
Short,1.51,Orange,JAHM,No,A
Long,2.29,Purple,JAHM,No,M
Short,1.88,Orange,JAHM,No,J
Short,2.00,Orange,JAHM,No,J
Long,2.56,Purple,JAHM,No,H
Short,2.20,Orange,JAHM,No,A
Long,2.48,Purple,JAHM,No,M
Short,2.19,Orange,JAHM,No,J
Short,1.94,Orange,JAHM,No,A
Long,2.57,Purple,JAHM,No,H
Long,1.70,Purple,JAHM,Yes,M
Short,1.81,Purple,KCJH,No,None
Long,1.91,Purple,KCJH,No,None
Long,2.05,Purple,KCJH,No,None
Long,2.12,Purple,KCJH,No,None
Short,2.02,Purple,KCJH,No,None
Short,1.77,Purple,KCJH,No,None
Long,2.07,Purple,KCJH,No,None
Long,2.39,Purple,KCJH,No,None
Short,1.71,Purple,KCJH,No,None
Short,2.38,Purple,KCJH,Yes,None
Long,1.60,Purple,KCJH,No,None
Long,2.69,Purple,KCJH,No,None
Short,2.03,Purple,KCJH,No,None
Short,1.91,Purple,KCJH,No,None
Long,2.26,Purple,KCJH,No,None
Long,2.39,Purple,KCJH,No,None
Short,1.82,Purple,KCJH,No,None
Short,1.72,Purple,KCJH,No,None
Long,1.98,Purple,KCJH,Yes,None
Long,2.43,Purple,KCJH,No,None
Short,2.07,Purple,KCJH,Yes,None
Short,2.20,Purple,KCJH,Yes,None
Long,2.06,Purple,KCJH,No,None
Long,2.36,Purple,KCJH,No,None
Short,2.22,Purple,KCJH,No,None
Short,2.21,Purple,KCJH,No,None
Long,2.98,Purple,ZYLH,Yes,L1
Long,2.25,Purple,ZYLH,No,L2
Short,2.71,Purple,ZYLH,No,S1
Short,2.31,Purple,ZYLH,No,S2
Long,2.45,Purple,ZYLH,No,L1
Long,1.61,Purple,ZYLH,Yes,L2
Short,2.19,Purple,ZYLH,No,S1
Short,2.26,Purple,ZYLH,No,S2
Long,2.12,Purple,ZYLH,Yes,L1
Long,1.86,Purple,ZYLH,No,L2
Short,2.52,Purple,ZYLH,No,S1
Short,1.86,Purple,ZYLH,Yes,S2
Long,2.12,Purple,ZYLH,No,L1
Long,1.79,Purple,ZYLH,No,L2
Short,1.81,Purple,ZYLH,No,S1
Short,2.13,Purple,ZYLH,No,S2
Long,2.39,Purple,ZYLH,No,L1
Long,1.80,Purple,ZYLH,No,L2
Short,2.19,Purple,ZYLH,No,S1
Short,2.24,Purple,ZYLH,No,S2
Long,2.71,Purple,ZYLH,No,L1
Long,1.73,Purple,ZYLH,No,L2
Short,1.99,Purple,ZYLH,No,S1
Short,1.87,Purple,ZYLH,No,S2
Long,2.12,Purple,ZYLH,No,L1
Long,1.54,Purple,ZYLH,Yes,L2
Short,2.06,Purple,ZYLH,No,S1
Short,1.99,Purple,ZYLH,No,S2
Short,1.85,Green,CHID,No,None
Short,2.08,Green,CHID,No,None
Short,2.01,Green,CHID,No,None
Short,1.95,Green,CHID,No,None
Short,2.10,Green,CHID,No,None
Short,1.93,Green,CHID,No,None
Short,1.68,Green,CHID,No,None
Short,1.66,Green,CHID,No,None
Short,1.76,Green,CHID,No,None
Short,1.83,Green,CHID,No,None
Short,1.93,Green,CHID,No,None
Short,1.83,Green,CHID,No,None
Short,1.81,Green,CHID,No,None
Short,1.76,Green,CHID,No,None
Short,1.73,Green,CHID,No,None
Short,2.31,Green,CHID,No,None
Short,1.71,Green,CHID,No,None
Short,1.73,Green,CHID,No,None
Short,1.80,Green,CHID,No,None
Short,1.70,Green,CHID,No,None
Short,1.98,Green,CHID,No,None
Short,1.78,Green,CHID,No,None
Short,1.73,Green,CHID,No,None
Short,1.65,Green,CHID,No,None
Short,2.20,Green,CHID,No,None
Short,1.76,Green,CHID,No,None
Short,,Green,CHID,Yes,None
Short,1.73,Green,CHID,No,None
Long,2.16,Yellow,CHID,No,None
Long,2.28,Yellow,CHID,No,None
Long,2.05,Yellow,CHID,No,None
Long,2.28,Yellow,CHID,No,None
Long,2.05,Yellow,CHID,No,None
Long,2.10,Yellow,CHID,No,None
Long,2.03,Yellow,CHID,No,None
Long,2.10,Yellow,CHID,No,None
Long,,Yellow,CHID,Yes,None
Long,1.90,Yellow,CHID,No,None
Long,2.03,Yellow,CHID,No,None
Long,1.96,Yellow,CHID,No,None
Long,2.11,Yellow,CHID,No,None
Long,2.36,Yellow,CHID,No,None
Long,1.95,Yellow,CHID,No,None
Long,1.90,Yellow,CHID,No,None
Long,1.98,Yellow,CHID,No,None
Long,2.16,Yellow,CHID,No,None
Long,2.05,Yellow,CHID,No,None
Long,2.10,Yellow,CHID,No,None
Long,1.96,Yellow,CHID,No,None
Long,2.00,Yellow,CHID,No,None
Long,2.18,Yellow,CHID,No,None
Long,2.01,Yellow,CHID,No,None
Long,2.03,Yellow,CHID,No,None
Long,2.13,Yellow,CHID,No,None
Long,2.40,Yellow,CHID,No,None
Short,1.48,Yellow,COMM,No,None
Short,1.56,Yellow,COMM,No,None
Short,1.61,Yellow,COMM,No,None
Short,1.45,Yellow,COMM,No,None
Short,1.60,Yellow,COMM,No,None
Short,1.64,Yellow,COMM,No,None
Short,1.75,Yellow,COMM,No,None
Short,1.68,Yellow,COMM,No,None
Short,1.70,Yellow,COMM,No,None
Short,1.84,Yellow,COMM,No,None
Short,1.68,Yellow,COMM,No,None
Short,1.63,Yellow,COMM,No,None
Short,1.84,Yellow,COMM,No,None
Short,1.48,Yellow,COMM,No,None
Short,1.68,Yellow,COMM,No,None
Short,1.58,Yellow,COMM,No,None
Short,1.75,Yellow,COMM,No,None
Short,1.81,Yellow,COMM,No,None
Short,2.24,Yellow,COMM,Yes,None
Short,1.73,Yellow,COMM,No,None
Short,1.75,Yellow,COMM,No,None
Short,1.55,Yellow,COMM,No,None
Short,1.68,Yellow,COMM,No,None
Short,1.65,Yellow,COMM,No,None
Long,1.61,Orange,COMM,No,None
Long,1.93,Orange,COMM,No,None
Long,1.95,Orange,COMM,No,None
Long,1.88,Orange,COMM,No,None
Long,2.06,Orange,COMM,No,None
Long,2.11,Orange,COMM,No,None
Long,1.65,Orange,COMM,No,None
Long,1.80,Orange,COMM,No,None
Long,1.91,Orange,COMM,No,None
Long,1.91,Orange,COMM,No,None
Long,1.92,Orange,COMM,No,None
Long,2.06,Orange,COMM,No,None
Long,2.05,Orange,COMM,No,None
Long,1.84,Orange,COMM,No,None
Long,2.02,Orange,COMM,No,None
Long,2.11,Orange,COMM,No,None
Long,1.98,Orange,COMM,No,None
Long,1.95,Orange,COMM,No,None
Long,1.95,Orange,COMM,No,None
Long,1.75,Orange,COMM,No,None
Long,2.03,Orange,COMM,No,None
Long,2.03,Orange,COMM,No,None
Long,2.10,Orange,COMM,No,None
Long,1.90,Orange,YAMS,Yes,None
Long,2.30,Orange,YAMS,No,None
Short,1.90,Yellow,YAMS,Yes,None
Short,2.00,Yellow,YAMS,No,None
Long,1.58,Orange,YAMS,Yes,None
Long,2.30,Orange,YAMS,No,None
Short,2.28,Yellow,YAMS,Yes,None
Short,1.78,Yellow,YAMS,No,None
Long,1.98,Orange,YAMS,No,None
Long,2.06,Orange,YAMS,Yes,None
Short,1.90,Yellow,YAMS,No,None
Short,1.33,Yellow,YAMS,Yes,None
Long,1.25,Orange,YAMS,No,None
Long,2.11,Orange,YAMS,No,None
Short,1.76,Yellow,YAMS,No,None
Short,1.81,Yellow,YAMS,No,None
Long,1.71,Orange,YAMS,No,None
Long,1.88,Orange,YAMS,No,None
Short,1.46,Yellow,YAMS,Yes,None
Short,1.60,Yellow,YAMS,No,None
Long,1.79,Orange,MTDJ,No,1
Long,1.72,Orange,MTDJ,No,1
Long,1.85,Orange,MTDJ,No,1
Long,1.79,Orange,MTDJ,No,1
Long,1.98,Orange,MTDJ,No,1
Long,1.51,Orange,MTDJ,Yes,1
Long,1.71,Orange,MTDJ,No,3
Long,2.17,Orange,MTDJ,Yes,3
Long,1.92,Orange,MTDJ,No,3
Long,2.12,Orange,MTDJ,No,3
Long,1.92,Orange,MTDJ,No,3
Long,2.12,Orange,MTDJ,No,3
Long,2.23,Orange,MTDJ,No,3
Short,1.73,Purple,MTDJ,No,2
Short,1.78,Purple,MTDJ,No,2
Short,1.65,Purple,MTDJ,No,2
Short,1.59,Purple,MTDJ,Yes,2
Short,1.79,Purple,MTDJ,Yes,2
Short,1.97,Purple,MTDJ,Yes,2
Short,1.78,Purple,MTDJ,No,2
Short,1.72,Purple,MTDJ,No,4
Short,2.24,Purple,MTDJ,Yes,4
Short,1.78,Purple,MTDJ,Yes,4
Short,1.91,Purple,MTDJ,Yes,4
Short,1.91,Purple,MTDJ,No,4
Short,2.05,Purple,MTDJ,No,4
Short,2.11,Purple,MTDJ,No,4
Short,1.70,Purple,FRONT_LEFT,No,None
Short,2.10,Purple,FRONT_LEFT,Yes,None
Long,2.25,Green,FRONT_LEFT,No,None
Long,2.43,Green,FRONT_LEFT,No,None
Short,1.85,Purple,FRONT_LEFT,No,None
Short,1.45,Purple,FRONT_LEFT,No,None
Long,2.25,Green,FRONT_LEFT,No,None
Long,1.65,Green,FRONT_LEFT,No,None
Short,1.31,Purple,FRONT_LEFT,No,None
Short,1.73,Purple,FRONT_LEFT,No,None
Long,1.70,Green,FRONT_LEFT,No,None
Long,1.79,Green,FRONT_LEFT,No,None
Short,1.31,Purple,FRONT_LEFT,No,None
Short,1.51,Purple,FRONT_LEFT,No,None
Long,2.08,Green,FRONT_LEFT,No,None
Long,1.93,Green,FRONT_LEFT,No,None
Short,2.05,Purple,FRONT_LEFT,No,None
Short,2.07,Purple,FRONT_LEFT,No,None
Long,1.55,Green,FRONT_LEFT,Yes,None
Long,1.91,Green,FRONT_LEFT,No,None
Short,1.65,Purple,FRONT_LEFT,No,None
Short,1.25,Purple,FRONT_LEFT,No,None
Long,1.51,Green,FRONT_LEFT,Yes,None
Long,1.96,Green,FRONT_LEFT,No,None
Long,2.41,Purple,SARR,No,1
Long,2.03,Purple,SARR,No,1
Long,2.58,Purple,SARR,No,1
Long,2.25,Purple,SARR,No,1
Long,1.98,Purple,SARR,No,1
Long,2.35,Purple,SARR,No,1
Long,2.50,Purple,SARR,No,1
Long,2.45,Purple,SARR,No,1
Long,1.60,Purple,SARR,No,2
Long,2.08,Purple,SARR,No,2
Long,2.60,Purple,SARR,No,2
Long,2.30,Purple,SARR,No,2
Long,2.48,Purple,SARR,No,2
Long,2.45,Purple,SARR,No,2
Long,2.58,Purple,SARR,No,2
Long,2.73,Purple,SARR,No,2
Short,2.05,Green,SARR,No,1
Short,2.86,Green,SARR,No,1
Short,2.11,Green,SARR,No,1
Short,1.68,Green,SARR,No,1
Short,1.98,Green,SARR,No,1
Short,2.25,Green,SARR,No,1
Short,2.06,Green,SARR,No,1
Short,1.96,Green,SARR,No,1
Short,,Green,SARR,Yes,2
Short,1.96,Green,SARR,No,2
Short,2.21,Green,SARR,No,2
Short,2.21,Green,SARR,No,2
Short,2.10,Green,SARR,No,2
Short,2.41,Green,SARR,No,2
Short,2.23,Green,SARR,No,2
Short,1.86,Green,SARR,No,2